年月,店舗名,店舗表示順,レート区分,台数,店舗全体台数,台数シェア,売上合計_千円,店舗全体売上_千円,売上シェア,補粗利合計,店舗全体補粗利,補粗利シェア,売上差_pt,補粗利差_pt,平均差_pt,判定,優先度
2025-07,前橋若宮店,5,20円超S,198,601,32.9,189763,447749,42.4,21765326,65604136,33.2,9.4,0.2,4.8,要確認,高
2025-07,前橋若宮店,5,5円S,0,601,0.0,0,447749,0.0,0,65604136,0.0,0.0,0.0,0.0,適正,低
2025-07,前橋若宮店,5,5円未満S,0,601,0.0,0,447749,0.0,0,65604136,0.0,0.0,0.0,0.0,適正,低
2025-07,前橋大利根店,6,4円超P,314,1125,27.9,226467,738194,30.7,39278268,102609727,38.3,2.8,10.4,6.6,要確認,高
2025-07,前橋大利根店,6,1円P,236,1125,21.0,68307,738194,9.3,14344991,102609727,14.0,-11.7,-7.0,-9.4,過剰,高
2025-07,前橋大利根店,6,1円未満P,88,1125,7.8,9359,738194,1.3,2248383,102609727,2.2,-6.6,-5.6,-6.1,過剰,高
2025-07,前橋大利根店,6,20円超S,429,1125,38.1,411002,738194,55.7,43316674,102609727,42.2,17.5,4.1,10.8,不足,高
2025-07,前橋大利根店,6,5円S,40,1125,3.6,19536,738194,2.6,2964075,102609727,2.9,-0.9,-0.7,-0.8,適正,低
2025-07,前橋大利根店,6,5円未満S,18,1125,1.6,3523,738194,0.5,457336,102609727,0.4,-1.1,-1.2,-1.1,適正,低
2025-07,ガーデン前橋店,7,4円超P,353,1027,34.4,276597,719791,38.4,45098044,100157983,45.0,4.1,10.7,7.4,不足,高
2025-07,ガーデン前橋店,7,1円P,211,1027,20.5,60156,719791,8.4,11550274,100157983,11.5,-12.2,-9.0,-10.6,過剰,高
2025-07,ガーデン前橋店,7,1円未満P,43,1027,4.2,4735,719791,0.7,794217,100157983,0.8,-3.5,-3.4,-3.5,過剰,中
2025-07,ガーデン前橋店,7,20円超S,369,1027,35.9,356810,719791,49.6,39260827,100157983,39.2,13.6,3.3,8.5,不足,高
2025-07,ガーデン前橋店,7,5円S,52,1027,5.1,21494,719791,3.0,3454621,100157983,3.4,-2.1,-1.6,-1.8,適正,低
2025-07,ガーデン前橋店,7,5円未満S,0,1027,0.0,0,719791,0.0,0,100157983,0.0,0.0,0.0,0.0,適正,低
2025-07,富岡店,8,4円超P,284,709,40.1,160567,428873,37.4,27916860,65669728,42.5,-2.6,2.5,-0.1,適正,低
2025-07,富岡店,8,1円P,143,709,20.2,50319,428873,11.7,8418002,65669728,12.8,-8.4,-7.4,-7.9,過剰,高
2025-07,富岡店,8,1円未満P,0,709,0.0,0,428873,0.0,0,65669728,0.0,0.0,0.0,0.0,適正,低
2025-07,富岡店,8,20円超S,246,709,34.7,208709,428873,48.7,28055525,65669728,42.7,14.0,8.0,11.0,不足,高
2025-07,富岡店,8,5円S,35,709,4.9,9278,428873,2.2,1279341,65669728,1.9,-2.8,-3.0,-2.9,適正,低
2025-07,富岡店,8,5円未満S,0,709,0.0,0,428873,0.0,0,65669728,0.0,0.0,0.0,0.0,適正,低
2025-07,安中店,9,4円超P,284,798,35.6,135422,408748,33.1,26085788,61469304,42.4,-2.5,6.8,2.2,要確認,高
2025-07,安中店,9,1円P,203,798,25.4,49635,408748,12.1,9858945,61469304,16.0,-13.3,-9.4,-11.3,過剰,高
2025-07,安中店,9,1円未満P,0,798,0.0,0,408748,0.0,0,61469304,0.0,0.0,0.0,0.0,適正,低
2025-07,安中店,9,20円超S,211,798,26.4,195104,408748,47.7,22274241,61469304,36.2,21.3,9.8,15.5,不足,高
2025-07,安中店,9,5円S,100,798,12.5,28587,408748,7.0,3250330,61469304,5.3,-5.5,-7.2,-6.4,過剰,高
2025-07,安中店,9,5円未満S,0,798,0.0,0,408748,0.0,0,61469304,0.0,0.0,0.0,0.0,適正,低
2025-07,高崎本店,10,4円超P,368,994,37.0,477655,1133815,42.1,64156500,117615932,54.5,5.1,17.5,11.3,不足,高
2025-07,高崎本店,10,1円P,180,994,18.1,71287,1133815,6.3,12320800,117615932,10.5,-11.8,-7.6,-9.7,過剰,高
2025-07,高崎本店,10,1円未満P,0,994,0.0,0,1133815,0.0,0,117615932,0.0,0.0,0.0,0.0,適正,低
2025-07,高崎本店,10,20円超S,412,994,41.4,567010,1133815,50.0,39600524,117615932,33.7,8.6,-7.8,0.4,要確認,高
2025-07,高崎本店,10,5円S,34,994,3.4,17863,1133815,1.6,1538108,117615932,1.3,-1.8,-2.1,-2.0,適正,低
2025-07,高崎本店,10,5円未満S,0,994,0.0,0,1133815,0.0,0,117615932,0.0,0.0,0.0,0.0,適正,低
2025-07,倉賀野店,11,4円超P,246,986,24.9,111589,460843,24.2,19816772,58560634,33.8,-0.7,8.9,4.1,要確認,高
2025-07,倉賀野店,11,1円P,298,986,30.2,51359,460843,11.1,8691522,58560634,14.8,-19.1,-15.4,-17.2,過剰,高
2025-07,倉賀野店,11,1円未満P,72,986,7.3,7497,460843,1.6,1627546,58560634,2.8,-5.7,-4.5,-5.1,過剰,中
2025-07,倉賀野店,11,20円超S,290,986,29.4,262281,460843,56.9,25628088,58560634,43.8,27.5,14.4,20.9,不足,高
2025-07,倉賀野店,11,5円S,41,986,4.2,18072,460843,3.9,1583281,58560634,2.7,-0.2,-1.5,-0.8,適正,低
2025-07,倉賀野店,11,5円未満S,40,986,4.1,10046,460843,2.2,1213425,58560634,2.1,-1.9,-2.0,-1.9,適正,低
2025-07,金古店,12,4円超P,375,998,37.6,274296,708264,38.7,43759968,88536335,49.4,1.2,11.9,6.5,要確認,高
2025-07,金古店,12,1円P,209,998,20.9,66199,708264,9.3,14623416,88536335,16.5,-11.6,-4.4,-8.0,過剰,高
2025-07,金古店,12,1円未満P,0,998,0.0,0,708264,0.0,0,88536335,0.0,0.0,0.0,0.0,適正,低
2025-07,金古店,12,20円超S,367,998,36.8,347151,708264,49.0,27285806,88536335,30.8,12.2,-6.0,3.1,要確認,高
2025-07,金古店,12,5円S,47,998,4.7,20619,708264,2.9,2867145,88536335,3.2,-1.8,-1.5,-1.6,適正,低
2025-07,金古店,12,5円未満S,0,998,0.0,0,708264,0.0,0,88536335,0.0,0.0,0.0,0.0,適正,低
2025-07,伊勢崎店,13,4円超P,219,711,30.8,105690,346213,30.5,19712460,56679435,34.8,-0.3,4.0,1.9,要確認,中
2025-07,伊勢崎店,13,1円P,154,711,21.7,31999,346213,9.2,8600250,56679435,15.2,-12.4,-6.5,-9.5,過剰,高
2025-07,伊勢崎店,13,1円未満P,0,711,0.0,0,346213,0.0,0,56679435,0.0,0.0,0.0,0.0,適正,低
2025-07,伊勢崎店,13,20円超S,268,711,37.7,186213,346213,53.8,24969214,56679435,44.1,16.1,6.4,11.2,不足,高
2025-07,伊勢崎店,13,5円S,70,711,9.8,22311,346213,6.4,3397511,56679435,6.0,-3.4,-3.9,-3.6,過剰,中
2025-07,伊勢崎店,13,5円未満S,0,711,0.0,0,346213,0.0,0,56679435,0.0,0.0,0.0,0.0,適正,低
2025-07,大間々店,14,4円超P,333,994,33.5,153272,522006,29.4,29606956,77662945,38.1,-4.1,4.6,0.2,要確認,中
2025-07,大間々店,14,1円P,242,994,24.3,66663,522006,12.8,13959551,77662945,18.0,-11.6,-6.4,-9.0,過剰,高
2025-07,大間々店,14,1円未満P,0,994,0.0,0,522006,0.0,0,77662945,0.0,0.0,0.0,0.0,適正,低
2025-07,大間々店,14,20円超S,356,994,35.8,277995,522006,53.3,31922109,77662945,41.1,17.4,5.3,11.4,不足,高
2025-07,大間々店,14,5円S,63,994,6.3,24077,522006,4.6,2174329,77662945,2.8,-1.7,-3.5,-2.6,要確認,中
2025-07,大間々店,14,5円未満S,0,994,0.0,0,522006,0.0,0,77662945,0.0,0.0,0.0,0.0,適正,低
2025-07,館林店,15,4円超P,235,879,26.7,163252,508455,32.1,30917648,70094737,44.1,5.4,17.4,11.4,不足,高
2025-07,館林店,15,1円P,239,879,27.2,52878,508455,10.4,10800181,70094737,15.4,-16.8,-11.8,-14.3,過剰,高
2025-07,館林店,15,1円未満P,0,879,0.0,0,508455,0.0,0,70094737,0.0,0.0,0.0,0.0,適正,低
2025-07,館林店,15,20円超S,365,879,41.5,277083,508455,54.5,26835259,70094737,38.3,13.0,-3.2,4.9,要確認,高
2025-07,館林店,15,5円S,40,879,4.6,15242,508455,3.0,1541649,70094737,2.2,-1.6,-2.4,-2.0,適正,低
2025-07,館林店,15,5円未満S,0,879,0.0,0,508455,0.0,0,70094737,0.0,0.0,0.0,0.0,適正,低
2025-07,太田矢島店,16,4円超P,218,819,26.6,182562,631639,28.9,32217300,84164495,38.3,2.3,11.7,7.0,要確認,高
2025-07,太田矢島店,16,1円P,212,819,25.9,73721,631639,11.7,14754312,84164495,17.5,-14.2,-8.4,-11.3,過剰,高
2025-07,太田矢島店,16,1円未満P,0,819,0.0,0,631639,0.0,0,84164495,0.0,0.0,0.0,0.0,適正,低
2025-07,太田矢島店,16,20円超S,347,819,42.4,355252,631639,56.2,34549912,84164495,41.1,13.9,-1.3,6.3,要確認,高
2025-07,太田矢島店,16,5円S,42,819,5.1,20105,631639,3.2,2642971,84164495,3.1,-1.9,-2.0,-2.0,適正,低
2025-07,太田矢島店,16,5円未満S,0,819,0.0,0,631639,0.0,0,84164495,0.0,0.0,0.0,0.0,適正,低
2025-07,太田店,17,4円超P,313,1041,30.1,160771,594063,27.1,34597768,87608620,39.5,-3.0,9.4,3.2,要確認,高
2025-07,太田店,17,1円P,285,1041,27.4,78681,594063,13.2,15702438,87608620,17.9,-14.1,-9.5,-11.8,過剰,高
2025-07,太田店,17,1円未満P,35,1041,3.4,3836,594063,0.6,991651,87608620,1.1,-2.7,-2.2,-2.5,適正,低
2025-07,太田店,17,20円超S,353,1041,33.9,326585,594063,55.0,33446672,87608620,38.2,21.1,4.3,12.7,不足,高
2025-07,太田店,17,5円S,43,1041,4.1,21878,594063,3.7,2452496,87608620,2.8,-0.4,-1.3,-0.9,適正,低
2025-07,太田店,17,5円未満S,16,1041,1.5,2313,594063,0.4,417595,87608620,0.5,-1.1,-1.1,-1.1,適正,低
2025-07,上越店,18,4円超P,318,1318,24.1,132958,605957,21.9,27174091,89780404,30.3,-2.2,6.1,2.0,要確認,高
2025-07,上越店,18,1円P,239,1318,18.1,40253,605957,6.6,8531455,89780404,9.5,-11.5,-8.6,-10.1,過剰,高
2025-07,上越店,18,1円未満P,120,1318,9.1,6113,605957,1.0,1824122,89780404,2.0,-8.1,-7.1,-7.6,過剰,高
2025-07,上越店,18,20円超S,521,1318,39.5,401074,605957,66.2,45852450,89780404,51.1,26.7,11.5,19.1,不足,高
2025-07,上越店,18,5円S,80,1318,6.1,20162,605957,3.3,5361900,89780404,6.0,-2.7,-0.1,-1.4,適正,低
2025-07,上越店,18,5円未満S,40,1318,3.0,5398,605957,0.9,1036386,89780404,1.2,-2.1,-1.9,-2.0,適正,低
2025-07,上田店,19,4円超P,316,794,39.8,239240,520675,45.9,41343500,84492768,48.9,6.1,9.1,7.6,不足,高
2025-07,上田店,19,1円P,157,794,19.8,51534,520675,9.9,11668788,84492768,13.8,-9.9,-6.0,-7.9,過剰,高
2025-07,上田店,19,1円未満P,0,794,0.0,0,520675,0.0,0,84492768,0.0,0.0,0.0,0.0,適正,低
2025-07,上田店,19,20円超S,282,794,35.5,218291,520675,41.9,29787360,84492768,35.3,6.4,-0.3,3.1,要確認,高
2025-07,上田店,19,5円S,39,794,4.9,11611,520675,2.2,1693120,84492768,2.0,-2.7,-2.9,-2.8,適正,低
2025-07,上田店,19,5円未満S,0,794,0.0,0,520675,0.0,0,84492768,0.0,0.0,0.0,0.0,適正,低
2025-07,S熊谷店,20,4円超P,326,1028,31.7,360280,935477,38.5,58245220,125185876,46.5,6.8,14.8,10.8,不足,高
2025-07,S熊谷店,20,1円P,260,1028,25.3,98824,935477,10.6,21064842,125185876,16.8,-14.7,-8.5,-11.6,過剰,高
2025-07,S熊谷店,20,1円未満P,0,1028,0.0,0,935477,0.0,0,125185876,0.0,0.0,0.0,0.0,適正,低
2025-07,S熊谷店,20,20円超S,393,1028,38.2,454745,935477,48.6,43492324,125185876,34.7,10.4,-3.5,3.4,要確認,高
2025-07,S熊谷店,20,5円S,49,1028,4.8,21628,935477,2.3,2383490,125185876,1.9,-2.5,-2.9,-2.7,適正,低
2025-07,S熊谷店,20,5円未満S,0,1028,0.0,0,935477,0.0,0,125185876,0.0,0.0,0.0,0.0,適正,低
2025-07,S鴻巣店,21,4円超P,342,1032,33.1,278891,767056,36.4,36759680,91926446,40.0,3.2,6.8,5.0,不足,高
2025-07,S鴻巣店,21,1円P,240,1032,23.3,66104,767056,8.6,12833679,91926446,14.0,-14.6,-9.3,-12.0,過剰,高
2025-07,S鴻巣店,21,1円未満P,0,1032,0.0,0,767056,0.0,0,91926446,0.0,0.0,0.0,0.0,適正,低
2025-07,S鴻巣店,21,20円超S,389,1032,37.7,396627,767056,51.7,39700652,91926446,43.2,14.0,5.5,9.8,不足,高
2025-07,S鴻巣店,21,5円S,61,1032,5.9,25434,767056,3.3,2632435,91926446,2.9,-2.6,-3.0,-2.8,要確認,中
2025-07,S鴻巣店,21,5円未満S,0,1032,0.0,0,767056,0.0,0,91926446,0.0,0.0,0.0,0.0,適正,低
2025-07,S上里店,22,4円超P,278,994,28.0,163433,557257,29.3,28763364,80183617,35.9,1.4,7.9,4.6,要確認,高
2025-07,S上里店,22,1円P,237,994,23.8,51748,557257,9.3,12625017,80183617,15.7,-14.6,-8.1,-11.3,過剰,高
2025-07,S上里店,22,1円未満P,40,994,4.0,4102,557257,0.7,1138719,80183617,1.4,-3.3,-2.6,-2.9,要確認,中
2025-07,S上里店,22,20円超S,359,994,36.1,306720,557257,55.0,33662632,80183617,42.0,18.9,5.9,12.4,不足,高
2025-07,S上里店,22,5円S,80,994,8.0,31254,557257,5.6,3993885,80183617,5.0,-2.4,-3.1,-2.8,要確認,中
2025-07,S上里店,22,5円未満S,0,994,0.0,0,557257,0.0,0,80183617,0.0,0.0,0.0,0.0,適正,低
2025-07,入間店,23,4円超P,301,994,30.3,168559,542668,31.1,30244628,73683650,41.0,0.8,10.8,5.8,要確認,高
2025-07,入間店,23,1円P,214,994,21.5,47384,542668,8.7,9776541,73683650,13.3,-12.8,-8.3,-10.5,過剰,高
2025-07,入間店,23,1円未満P,0,994,0.0,0,542668,0.0,0,73683650,0.0,0.0,0.0,0.0,適正,低
2025-07,入間店,23,20円超S,403,994,40.5,304943,542668,56.2,31073607,73683650,42.2,15.7,1.6,8.6,要確認,高
2025-07,入間店,23,5円S,76,994,7.6,21782,542668,4.0,2588874,73683650,3.5,-3.6,-4.1,-3.9,過剰,中
2025-07,入間店,23,5円未満S,0,994,0.0,0,542668,0.0,0,73683650,0.0,0.0,0.0,0.0,適正,低
2025-07,坂戸店,24,4円超P,318,923,34.5,384691,869814,44.2,62918840,127185993,49.5,9.8,15.0,12.4,不足,高
2025-07,坂戸店,24,1円P,198,923,21.5,61704,869814,7.1,12284288,127185993,9.7,-14.4,-11.8,-13.1,過剰,高
2025-07,坂戸店,24,1円未満P,0,923,0.0,0,869814,0.0,0,127185993,0.0,0.0,0.0,0.0,適正,低
2025-07,坂戸店,24,20円超S,358,923,38.8,399401,869814,45.9,48797519,127185993,38.4,7.1,-0.4,3.4,要確認,高
2025-07,坂戸店,24,5円S,49,923,5.3,24018,869814,2.8,3185346,127185993,2.5,-2.5,-2.8,-2.7,適正,低
2025-07,坂戸店,24,5円未満S,0,923,0.0,0,869814,0.0,0,127185993,0.0,0.0,0.0,0.0,適正,低
2025-07,花園店,25,4円超P,373,898,41.5,462387,936001,49.4,80309456,142365762,56.4,7.9,14.9,11.4,不足,高
2025-07,花園店,25,1円P,171,898,19.0,70558,936001,7.5,12456004,142365762,8.7,-11.5,-10.3,-10.9,過剰,高
2025-07,花園店,25,1円未満P,0,898,0.0,0,936001,0.0,0,142365762,0.0,0.0,0.0,0.0,適正,低
2025-07,花園店,25,20円超S,354,898,39.4,403057,936001,43.1,49600302,142365762,34.8,3.6,-4.6,-0.5,要確認,中
2025-07,花園店,25,5円S,0,898,0.0,0,936001,0.0,0,142365762,0.0,0.0,0.0,0.0,適正,低
2025-07,花園店,25,5円未満S,0,898,0.0,0,936001,0.0,0,142365762,0.0,0.0,0.0,0.0,適正,低
2025-07,杉戸店,26,4円超P,223,815,27.4,123221,437175,28.2,24620432,65640022,37.5,0.8,10.1,5.5,要確認,高
2025-07,杉戸店,26,1円P,167,815,20.5,36419,437175,8.3,8778538,65640022,13.4,-12.2,-7.1,-9.6,過剰,高
2025-07,杉戸店,26,1円未満P,54,815,6.6,6020,437175,1.4,1773683,65640022,2.7,-5.2,-3.9,-4.6,過剰,中
2025-07,杉戸店,26,20円超S,331,815,40.6,256835,437175,58.7,28423434,65640022,43.3,18.1,2.7,10.4,要確認,高
2025-07,杉戸店,26,5円S,40,815,4.9,14681,437175,3.4,2043935,65640022,3.1,-1.5,-1.8,-1.7,適正,低
2025-07,杉戸店,26,5円未満S,0,815,0.0,0,437175,0.0,0,65640022,0.0,0.0,0.0,0.0,適正,低
2025-07,羽生店,27,4円超P,199,789,25.2,109494,387311,28.3,16082700,42973584,37.4,3.0,12.2,7.6,不足,高
2025-07,羽生店,27,1円P,199,789,25.2,39487,387311,10.2,5603600,42973584,13.0,-15.0,-12.2,-13.6,過剰,高
2025-07,羽生店,27,1円未満P,39,789,4.9,859,387311,0.2,228980,42973584,0.5,-4.7,-4.4,-4.6,過剰,中
2025-07,羽生店,27,20円超S,301,789,38.1,216994,387311,56.0,18920785,42973584,44.0,17.9,5.9,11.9,不足,高
2025-07,羽生店,27,5円S,80,789,10.1,20477,387311,5.3,2137519,42973584,5.0,-4.9,-5.2,-5.0,過剰,中
2025-07,羽生店,27,5円未満S,0,789,0.0,0,387311,0.0,0,42973584,0.0,0.0,0.0,0.0,適正,低
2025-07,千葉みなと店,28,4円超P,276,998,27.7,130889,492868,26.6,27549884,74641433,36.9,-1.1,9.3,4.1,要確認,高
2025-07,千葉みなと店,28,1円P,235,998,23.5,65374,492868,13.3,15906152,74641433,21.3,-10.3,-2.2,-6.3,要確認,高
2025-07,千葉みなと店,28,1円未満P,36,998,3.6,4053,492868,0.8,1172466,74641433,1.6,-2.8,-2.0,-2.4,適正,低
2025-07,千葉みなと店,28,20円超S,287,998,28.8,235277,492868,47.7,21188219,74641433,28.4,19.0,-0.4,9.3,要確認,高
2025-07,千葉みなと店,28,5円S,132,998,13.2,50496,492868,10.2,7650580,74641433,10.2,-3.0,-3.0,-3.0,適正,低
2025-07,千葉みなと店,28,5円未満S,32,998,3.2,6781,492868,1.4,1174132,74641433,1.6,-1.8,-1.6,-1.7,適正,低
2025-07,浜野店,29,4円超P,316,916,34.5,299806,750019,40.0,46340368,93109144,49.8,5.5,15.3,10.4,不足,高
2025-07,浜野店,29,1円P,192,916,21.0,59803,750019,8.0,13627321,93109144,14.6,-13.0,-6.3,-9.7,過剰,高
2025-07,浜野店,29,1円未満P,39,916,4.3,3912,750019,0.5,1178292,93109144,1.3,-3.7,-3.0,-3.4,要確認,中
2025-07,浜野店,29,20円超S,300,916,32.8,351395,750019,46.9,27908152,93109144,30.0,14.1,-2.8,5.7,要確認,高
2025-07,浜野店,29,5円S,70,916,7.6,35102,750019,4.7,4055011,93109144,4.4,-3.0,-3.3,-3.1,要確認,中
2025-07,浜野店,29,5円未満S,0,916,0.0,0,750019,0.0,0,93109144,0.0,0.0,0.0,0.0,適正,低
2025-07,佐倉店,30,4円超P,280,820,34.1,285627,678035,42.1,30453436,72275588,42.1,8.0,8.0,8.0,不足,高
2025-07,佐倉店,30,1円P,198,820,24.1,64432,678035,9.5,12816723,72275588,17.7,-14.6,-6.4,-10.5,過剰,高
2025-07,佐倉店,30,1円未満P,0,820,0.0,0,678035,0.0,0,72275588,0.0,0.0,0.0,0.0,適正,低
2025-07,佐倉店,30,20円超S,288,820,35.1,304798,678035,45.0,26478804,72275588,36.6,9.8,1.5,5.7,要確認,高
2025-07,佐倉店,30,5円S,55,820,6.7,23179,678035,3.4,2526625,72275588,3.5,-3.3,-3.2,-3.3,過剰,中
2025-07,佐倉店,30,5円未満S,0,820,0.0,0,678035,0.0,0,72275588,0.0,0.0,0.0,0.0,適正,低
2025-07,旭店,32,4円超P,223,705,31.6,66475,247265,26.9,10057720,33527831,30.0,-4.7,-1.6,-3.2,要確認,中
2025-07,旭店,32,1円P,185,705,26.2,30320,247265,12.3,5282080,33527831,15.8,-14.0,-10.5,-12.2,過剰,高
2025-07,旭店,32,1円未満P,38,705,5.4,2391,247265,1.0,633302,33527831,1.9,-4.4,-3.5,-4.0,過剰,中
2025-07,旭店,32,20円超S,219,705,31.1,137643,247265,55.7,16373846,33527831,48.8,24.6,17.8,21.2,不足,高
2025-07,旭店,32,5円S,39,705,5.5,10437,247265,4.2,1180883,33527831,3.5,-1.3,-2.0,-1.7,適正,低
2025-07,旭店,32,5円未満S,0,705,0.0,0,247265,0.0,0,33527831,0.0,0.0,0.0,0.0,適正,低
2025-07,妙典駅前店,33,4円超P,183,604,30.3,164040,479587,34.2,24028292,64394742,37.3,3.9,7.0,5.5,不足,高
2025-07,妙典駅前店,33,1円P,112,604,18.5,32155,479587,6.7,6124663,64394742,9.5,-11.8,-9.0,-10.4,過剰,高
2025-07,妙典駅前店,33,1円未満P,0,604,0.0,0,479587,0.0,0,64394742,0.0,0.0,0.0,0.0,適正,低
2025-07,妙典駅前店,33,20円超S,262,604,43.4,264338,479587,55.1,30923696,64394742,48.0,11.7,4.6,8.2,不足,高
2025-07,妙典駅前店,33,5円S,47,604,7.8,19055,479587,4.0,3318091,64394742,5.2,-3.8,-2.6,-3.2,要確認,中
2025-07,妙典駅前店,33,5円未満S,0,604,0.0,0,479587,0.0,0,64394742,0.0,0.0,0.0,0.0,適正,低
2025-07,ＷＡＫＯ鹿島店,34,4円超P,315,835,37.7,314495,554403,56.7,49409719,93179403,53.0,19.0,15.3,17.2,不足,高
2025-07,ＷＡＫＯ鹿島店,34,1円P,248,835,29.7,58332,554403,10.5,10909222,93179403,11.7,-19.2,-18.0,-18.6,過剰,高
2025-07,ＷＡＫＯ鹿島店,34,1円未満P,0,835,0.0,0,554403,0.0,0,93179403,0.0,0.0,0.0,0.0,適正,低
2025-07,ＷＡＫＯ鹿島店,34,20円超S,250,835,29.9,177705,554403,32.1,32304032,93179403,34.7,2.1,4.7,3.4,要確認,中
2025-07,ＷＡＫＯ鹿島店,34,5円S,22,835,2.6,3871,554403,0.7,556430,93179403,0.6,-1.9,-2.0,-2.0,適正,低
2025-07,ＷＡＫＯ鹿島店,34,5円未満S,0,835,0.0,0,554403,0.0,0,93179403,0.0,0.0,0.0,0.0,適正,低
2025-07,神栖店,35,4円超P,318,895,35.5,213430,600841,35.5,33770527,97345975,34.7,-0.0,-0.8,-0.4,適正,低
2025-07,神栖店,35,1円P,177,895,19.8,40440,600841,6.7,10031659,97345975,10.3,-13.0,-9.5,-11.3,過剰,高
2025-07,神栖店,35,1円未満P,0,895,0.0,0,600841,0.0,0,97345975,0.0,0.0,0.0,0.0,適正,低
2025-07,神栖店,35,20円超S,363,895,40.6,335933,600841,55.9,51045619,97345975,52.4,15.4,11.9,13.6,不足,高
2025-07,神栖店,35,5円S,37,895,4.1,11039,600841,1.8,2498170,97345975,2.6,-2.3,-1.6,-1.9,適正,低
2025-07,神栖店,35,5円未満S,0,895,0.0,0,600841,0.0,0,97345975,0.0,0.0,0.0,0.0,適正,低
2025-07,立川店,36,4円超P,322,1006,32.0,170187,490670,34.7,38826177,83673574,46.4,2.7,14.4,8.5,要確認,高
2025-07,立川店,36,1円P,238,1006,23.7,45105,490670,9.2,10349300,83673574,12.4,-14.5,-11.3,-12.9,過剰,高
2025-07,立川店,36,1円未満P,0,1006,0.0,0,490670,0.0,0,83673574,0.0,0.0,0.0,0.0,適正,低
2025-07,立川店,36,20円超S,330,1006,32.8,248987,490670,50.7,28263373,83673574,33.8,17.9,1.0,9.5,要確認,高
2025-07,立川店,36,5円S,116,1006,11.5,26392,490670,5.4,6234724,83673574,7.5,-6.2,-4.1,-5.1,過剰,高
2025-07,立川店,36,5円未満S,0,1006,0.0,0,490670,0.0,0,83673574,0.0,0.0,0.0,0.0,適正,低
2025-07,新小岩店,37,4円超P,228,757,30.1,178588,473355,37.7,31007976,83615837,37.1,7.6,7.0,7.3,不足,高
2025-07,新小岩店,37,1円P,250,757,33.0,63600,473355,13.4,14920142,83615837,17.8,-19.6,-15.2,-17.4,過剰,高
2025-07,新小岩店,37,1円未満P,0,757,0.0,0,473355,0.0,0,83615837,0.0,0.0,0.0,0.0,適正,低
